planner,plan,time,cost,score,compute time
veropt,plan_1,22.689090762999996,26.82385836242855,24.342997802771418,9.440661907196045
pddlopt,plan_1,24.01,26.77,25.114,42.24087595939636
pddlopt,plan_1,24.3,26.68,25.252000000000002,30.037837028503418
pddlopt,plan_1,19.98,33.38,25.340000000000003,31.901950120925903
pddlopt,plan_1,20.02,33.1,25.252000000000002,29.590281009674072
pddlopt,plan_1,20.02,33.1,25.252000000000002,35.925878047943115
veropt,plan_2,35.601959474999994,8.75,10.09259797375,62.11786389350891
pddlopt,plan_2,24.87,12.6,13.2135,48.74452614784241
pddlopt,plan_2,18.65,12.55,12.854999999999999,41.2828209400177
pddlopt,plan_2,18.9,12.4,12.725,32.628053188323975
pddlopt,plan_2,18.65,12.55,12.854999999999999,43.88440918922424
pddlopt,plan_2,29.2,10.7,11.625,46.960957050323486
veropt,plan_3,12.750779095,19.269199999999998,15.358147457,37.05333495140076
pddlopt,plan_3,17.95,17.82,17.898,14.60378909111023
pddlopt,plan_3,17.95,17.82,17.898,20.120430946350098
pddlopt,plan_3,15.23,24.86,19.082,15.832080125808716
pddlopt,plan_3,15.23,24.86,19.082,21.388500928878784
pddlopt,plan_3,17.95,17.82,17.898,14.632281064987183
